id;region;fecha;hora;es_dia;temperatura_2m;lluvia_mm;humedad_relativa_2m;temperatura_aparente;radiacion_directa;cod_clima;presion_msl
262;sierra;13/2/2020;12:00;1;12.7;0.20;76;11.4;241.7;51;1019.5
263;costa;13/2/2020;12:00;1;24.0;1.00;95;29.1;0.5;51;1009.3
264;oriente;13/2/2020;12:00;1;26.5;0.60;58;28.7;226.0;51;1013.8
265;sierra;14/2/2020;0:00;0;8.8;0.10;89;7.6;3.8;51;1019.3
266;costa;14/2/2020;0:00;0;26.9;5.90;89;33.2;232.8;53;1007.6
267;oriente;14/2/2020;0:00;0;20.7;0.00;85;22.9;11.8;1;1013.6
268;sierra;14/2/2020;12:00;1;12.5;0.40;79;11.5;217.3;51;1020.0
269;costa;14/2/2020;12:00;1;24.0;4.00;96;29.0;0.0;53;1011.0
270;oriente;14/2/2020;12:00;1;26.3;0.70;65;29.3;206.2;51;1014.2
271;sierra;15/2/2020;0:00;0;9.0;0.80;88;8.0;9.7;51;1021.1
272;costa;15/2/2020;0:00;0;27.0;0.30;83;32.3;292.8;51;1007.8
273;oriente;15/2/2020;0:00;0;21.0;0.00;84;23.3;6.0;2;1014.0
274;sierra;15/2/2020;12:00;1;12.8;0.20;75;11.8;165.2;51;1020.7
275;costa;15/2/2020;12:00;1;24.2;5.10;97;29.4;0.0;53;1010.5
276;oriente;15/2/2020;12:00;1;27.0;0.30;63;29.9;172.3;51;1014.5
277;sierra;16/2/2020;0:00;0;9.4;2.50;89;8.2;2.3;51;1020.1
278;costa;16/2/2020;0:00;0;26.0;0.50;86;31.0;52.0;51;1008.1
279;oriente;16/2/2020;0:00;0;20.5;1.80;90;23.3;6.0;51;1014.1
280;sierra;16/2/2020;12:00;1;11.5;1.80;100;11.0;29.0;51;1020.4
281;costa;16/2/2020;12:00;1;24.3;0.10;99;30.0;0.2;51;1009.1
282;oriente;16/2/2020;12:00;1;25.5;0.60;71;28.9;151.8;51;1013.8
283;sierra;17/2/2020;0:00;0;9.7;0.80;83;8.4;10.5;51;1019.1
284;costa;17/2/2020;0:00;0;26.7;6.20;92;32.8;138.8;55;1006.3
285;oriente;17/2/2020;0:00;0;20.1;0.10;88;22.3;8.3;51;1012.5
286;sierra;17/2/2020;12:00;1;11.9;5.40;97;11.3;52.5;53;1019.6
287;costa;17/2/2020;12:00;1;24.5;4.60;94;30.2;0.0;53;1007.0
288;oriente;17/2/2020;12:00;1;26.8;1.90;65;30.1;201.0;51;1012.8
289;sierra;18/2/2020;0:00;0;9.2;1.40;91;8.2;3.2;51;1019.8
290;costa;18/2/2020;0:00;0;27.1;0.80;89;33.6;228.2;51;1005.5
291;oriente;18/2/2020;0:00;0;20.9;0.20;87;23.2;10.3;51;1012.8
292;sierra;18/2/2020;12:00;1;12.6;4.10;100;12.2;43.0;53;1020.3
293;costa;18/2/2020;12:00;1;24.9;0.10;94;30.6;0.7;51;1007.7
294;oriente;18/2/2020;12:00;1;26.9;1.00;59;28.9;232.5;51;1013.8
295;sierra;19/2/2020;0:00;0;9.5;0.90;79;8.0;14.0;51;1020.0
296;costa;19/2/2020;0:00;0;27.3;2.70;79;32.9;174.3;51;1005.2
297;oriente;19/2/2020;0:00;0;21.0;0.10;86;23.6;11.8;51;1013.8
298;sierra;19/2/2020;12:00;1;11.0;2.50;98;10.1;6.2;51;1021.0
299;costa;19/2/2020;12:00;1;24.2;0.00;95;29.1;0.7;1;1009.1
300;oriente;19/2/2020;12:00;1;26.9;1.80;67;30.5;127.0;51;1013.7
301;sierra;20/2/2020;0:00;0;10.2;0.10;73;8.9;20.7;51;1019.5
302;costa;20/2/2020;0:00;0;26.8;4.30;92;33.1;171.2;53;1007.5
303;oriente;20/2/2020;0:00;0;20.3;0.60;93;23.0;4.2;51;1013.1
304;sierra;20/2/2020;12:00;1;12.5;1.60;100;12.2;158.7;51;1020.3
305;costa;20/2/2020;12:00;1;24.3;0.10;94;28.9;0.2;51;1010.1
306;oriente;20/2/2020;12:00;1;27.1;1.10;60;30.1;223.8;51;1013.5
307;sierra;21/2/2020;0:00;0;10.7;0.00;90;10.3;0.8;3;1019.1
