id;region;fecha;hora;es_dia;temperatura_2m;lluvia_mm;humedad_relativa_2m;temperatura_aparente;radiacion_directa;cod_clima;presion_msl
10628;costa;6/11/2024;0:00;0;24.9;0.00;66;25.5;185.0;0;1010.0
10629;oriente;6/11/2024;0:00;0;19.9;0.10;90;22.8;3.3;51;1014.2
10630;sierra;6/11/2024;12:00;1;12.7;1.20;85;11.9;325.3;51;1019.3
10631;costa;6/11/2024;12:00;1;21.9;0.00;81;24.2;3.5;2;1013.1
10632;oriente;6/11/2024;12:00;1;25.2;1.00;70;27.9;219.7;51;1014.4
10633;sierra;7/11/2024;0:00;0;9.3;0.10;96;8.5;9.0;51;1019.1
10634;costa;7/11/2024;0:00;0;24.0;0.00;70;24.2;174.3;1;1010.1
10635;oriente;7/11/2024;0:00;0;20.2;0.30;91;23.4;3.7;51;1014.2
10636;sierra;7/11/2024;12:00;1;14.2;2.10;75;13.8;98.2;51;1017.2
10637;costa;7/11/2024;12:00;1;21.9;0.00;80;23.9;3.8;3;1013.3
10638;oriente;7/11/2024;12:00;1;25.8;0.30;73;29.0;183.0;51;1013.7
10639;sierra;8/11/2024;0:00;0;11.1;1.70;89;10.8;5.3;51;1017.4
10640;costa;8/11/2024;0:00;0;24.3;0.00;68;25.1;216.0;3;1010.7
10641;oriente;8/11/2024;0:00;0;19.6;0.60;94;22.0;1.5;51;1012.8
10642;sierra;8/11/2024;12:00;1;12.6;2.60;87;12.1;329.7;51;1017.7
10643;costa;8/11/2024;12:00;1;21.9;0.00;77;23.6;1.5;3;1013.4
10644;oriente;8/11/2024;12:00;1;22.9;1.50;90;27.0;36.3;51;1014.2
10645;sierra;9/11/2024;0:00;0;10.2;0.40;89;9.2;2.2;51;1018.7
10646;costa;9/11/2024;0:00;0;25.2;0.00;63;26.0;314.3;3;1010.3
10647;oriente;9/11/2024;0:00;0;20.0;0.80;97;23.4;0.5;51;1015.3
10648;sierra;9/11/2024;12:00;1;12.9;2.30;78;11.9;278.8;51;1018.5
10649;costa;9/11/2024;12:00;1;21.4;0.00;80;23.3;3.2;3;1012.9
10650;oriente;9/11/2024;12:00;1;24.6;0.80;73;27.1;138.0;51;1014.3
10651;sierra;10/11/2024;0:00;0;9.7;0.80;93;9.1;0.3;51;1019.3
10652;costa;10/11/2024;0:00;0;25.9;0.00;63;26.6;328.8;3;1010.0
10653;oriente;10/11/2024;0:00;0;18.8;4.30;99;21.3;2.5;53;1015.3
10654;sierra;10/11/2024;12:00;1;11.5;1.60;87;10.7;172.0;51;1020.8
10655;costa;10/11/2024;12:00;1;21.7;0.00;82;23.7;5.2;3;1013.8
10656;oriente;10/11/2024;12:00;1;21.8;1.00;88;24.6;33.3;51;1016.6
10657;sierra;11/11/2024;0:00;0;10.4;0.00;82;9.7;3.0;3;1019.4
10658;costa;11/11/2024;0:00;0;24.2;0.00;70;25.1;194.0;3;1011.9
10659;oriente;11/11/2024;0:00;0;19.1;0.00;98;22.1;0.7;3;1015.5
10660;sierra;11/11/2024;12:00;1;13.1;0.90;88;12.8;203.8;51;1019.3
10661;costa;11/11/2024;12:00;1;20.9;0.00;84;23.0;4.2;3;1014.0
10662;oriente;11/11/2024;12:00;1;24.6;0.60;77;28.1;95.2;51;1015.4
10663;sierra;12/11/2024;0:00;0;10.6;0.00;83;9.9;3.3;1;1017.0
10664;costa;12/11/2024;0:00;0;25.7;0.00;62;26.0;326.8;3;1010.4
10665;oriente;12/11/2024;0:00;0;19.5;0.20;99;22.8;0.3;51;1014.7
10666;sierra;12/11/2024;12:00;1;11.9;1.70;91;11.3;154.2;51;1018.5
10667;costa;12/11/2024;12:00;1;21.7;0.00;78;23.7;6.2;1;1014.3
10668;oriente;12/11/2024;12:00;1;22.8;1.70;85;26.1;26.8;51;1015.4
10669;sierra;13/11/2024;0:00;0;9.6;8.40;91;9.0;0.0;61;1018.0
10670;costa;13/11/2024;0:00;0;26.4;0.00;60;26.8;338.3;3;1010.3
10671;oriente;13/11/2024;0:00;0;19.9;1.30;99;23.3;0.7;51;1015.1
10672;sierra;13/11/2024;12:00;1;14.1;0.80;80;13.6;207.8;51;1016.9
10673;costa;13/11/2024;12:00;1;21.5;0.00;78;23.3;6.0;2;1014.2
10674;oriente;13/11/2024;12:00;1;22.6;7.70;82;25.1;42.0;55;1015.2
10675;sierra;14/11/2024;0:00;0;9.5;2.30;91;8.9;1.2;51;1017.7
10676;costa;14/11/2024;0:00;0;25.7;0.00;61;26.1;348.3;2;1010.0
10677;oriente;14/11/2024;0:00;0;19.5;0.80;98;22.5;3.5;51;1014.6
10678;sierra;14/11/2024;12:00;1;11.4;5.60;92;10.7;19.0;53;1018.2
10679;costa;14/11/2024;12:00;1;21.7;0.00;77;23.5;1.7;3;1013.6
10680;oriente;14/11/2024;12:00;1;22.6;2.30;87;25.9;21.7;51;1014.3
10681;sierra;15/11/2024;0:00;0;9.3;0.00;85;8.5;0.7;3;1015.9
10682;costa;15/11/2024;0:00;0;25.7;0.00;62;26.1;183.2;3;1009.2
10683;oriente;15/11/2024;0:00;0;19.6;2.00;100;22.8;0.2;51;1014.1
10684;sierra;15/11/2024;12:00;1;13.0;1.80;83;12.1;259.3;51;1017.3
10685;costa;15/11/2024;12:00;1;21.6;0.00;79;23.7;6.2;0;1013.1
10686;oriente;15/11/2024;12:00;1;23.3;2.50;81;26.0;48.5;51;1014.0
10687;sierra;16/11/2024;0:00;0;9.0;0.10;94;8.4;1.5;51;1016.5
10688;costa;16/11/2024;0:00;0;25.1;0.00;65;25.7;307.2;0;1008.2
10689;oriente;16/11/2024;0:00;0;19.7;1.90;96;22.9;1.7;51;1013.5
10690;sierra;16/11/2024;12:00;1;11.4;1.30;95;10.6;47.5;51;1017.7
10691;costa;16/11/2024;12:00;1;23.0;0.00;74;25.1;3.7;3;1012.6
10692;oriente;16/11/2024;12:00;1;21.2;3.80;99;25.0;9.3;53;1015.0
10693;sierra;17/11/2024;0:00;0;8.4;0.10;95;7.7;1.5;51;1018.3
10694;costa;17/11/2024;0:00;0;25.4;0.00;66;25.9;271.7;3;1009.1
10695;oriente;17/11/2024;0:00;0;20.1;1.80;99;23.8;0.0;51;1014.7
10696;sierra;17/11/2024;12:00;1;10.7;5.10;99;10.2;110.0;53;1019.0
10697;costa;17/11/2024;12:00;1;23.2;0.00;75;25.3;1.0;3;1012.9
10698;oriente;17/11/2024;12:00;1;23.1;1.40;82;26.2;62.0;51;1014.9
10699;sierra;18/11/2024;0:00;0;8.1;5.90;92;7.3;1.7;53;1019.1
10700;costa;18/11/2024;0:00;0;26.2;0.00;61;26.4;191.5;0;1010.2
10701;oriente;18/11/2024;0:00;0;18.9;0.50;94;21.6;2.8;51;1015.0
10702;sierra;18/11/2024;12:00;1;12.5;0.50;80;11.4;210.3;51;1018.6
10703;costa;18/11/2024;12:00;1;21.8;0.00;81;23.8;5.8;0;1013.4
10704;oriente;18/11/2024;12:00;1;22.9;1.40;84;26.2;24.5;51;1014.4
10705;sierra;19/11/2024;0:00;0;8.1;0.00;86;6.9;5.7;3;1018.6
10706;costa;19/11/2024;0:00;0;25.4;0.00;60;25.3;353.3;3;1009.9
10707;oriente;19/11/2024;0:00;0;19.0;5.90;96;21.9;0.3;53;1015.0
10708;sierra;19/11/2024;12:00;1;13.6;0.50;68;11.9;302.8;51;1018.5
10709;costa;19/11/2024;12:00;1;22.4;0.00;75;24.6;5.2;0;1013.2
10710;oriente;19/11/2024;12:00;1;25.5;3.30;68;28.3;193.3;53;1014.9
10711;sierra;20/11/2024;0:00;0;8.0;0.00;87;6.7;0.5;1;1018.3
10712;costa;20/11/2024;0:00;0;25.1;0.00;63;25.5;356.5;1;1010.3
10713;oriente;20/11/2024;0:00;0;19.4;0.50;94;22.3;3.0;51;1014.8
10714;sierra;20/11/2024;12:00;1;13.1;0.80;74;11.8;326.3;51;1019.8
10715;costa;20/11/2024;12:00;1;22.4;0.00;77;24.7;5.5;1;1013.7
10716;oriente;20/11/2024;12:00;1;22.0;1.60;91;25.5;33.7;51;1016.5
10717;sierra;21/11/2024;0:00;0;9.4;8.50;95;8.9;1.5;61;1019.1
10718;costa;21/11/2024;0:00;0;24.8;0.00;65;25.2;247.0;0;1012.7
10719;oriente;21/11/2024;0:00;0;19.2;2.30;93;21.9;2.7;51;1015.7
10720;sierra;21/11/2024;12:00;1;11.1;1.40;90;10.5;31.5;51;1019.6
10721;costa;21/11/2024;12:00;1;22.0;0.00;81;23.9;5.5;3;1014.8
10722;oriente;21/11/2024;12:00;1;21.8;2.90;89;25.0;5.3;51;1016.1
10723;sierra;22/11/2024;0:00;0;9.1;3.70;92;8.5;0.3;53;1020.2
10724;costa;22/11/2024;0:00;0;26.4;0.00;55;26.2;268.8;3;1012.1
10725;oriente;22/11/2024;0:00;0;19.8;4.70;97;23.0;1.2;53;1016.0
10726;sierra;22/11/2024;12:00;1;12.1;1.20;91;11.7;194.5;51;1019.8
10727;costa;22/11/2024;12:00;1;21.9;0.00;80;24.5;3.5;3;1013.1
10728;oriente;22/11/2024;12:00;1;21.7;4.90;91;25.1;63.2;53;1016.0
10729;sierra;23/11/2024;0:00;0;8.9;1.00;97;8.1;0.0;51;1019.7
10730;costa;23/11/2024;0:00;0;26.3;0.00;59;26.7;306.5;3;1010.5
10731;oriente;23/11/2024;0:00;0;19.7;17.50;99;22.7;1.0;63;1016.1
10732;sierra;23/11/2024;12:00;1;11.9;2.10;96;11.3;125.2;51;1020.1
10733;costa;23/11/2024;12:00;1;22.8;0.00;75;24.7;3.7;3;1013.3
10734;oriente;23/11/2024;12:00;1;24.5;5.20;73;27.6;62.7;53;1016.5
10735;sierra;24/11/2024;0:00;0;8.4;0.30;93;7.5;2.7;51;1020.5
10736;costa;24/11/2024;0:00;0;26.3;0.00;61;26.6;161.7;3;1010.2
10737;oriente;24/11/2024;0:00;0;19.3;0.70;93;21.8;0.2;51;1015.4
10738;sierra;24/11/2024;12:00;1;12.3;1.90;86;11.2;261.2;51;1020.3
10739;costa;24/11/2024;12:00;1;22.6;0.00;76;24.8;3.8;3;1013.3
10740;oriente;24/11/2024;12:00;1;22.2;22.80;81;24.6;44.3;63;1016.5
10741;sierra;25/11/2024;0:00;0;8.4;0.20;91;7.4;2.8;51;1021.0
10742;costa;25/11/2024;0:00;0;26.6;0.00;61;27.4;218.2;1;1010.3
10743;oriente;25/11/2024;0:00;0;19.0;0.30;96;21.3;4.3;51;1015.1
10744;sierra;25/11/2024;12:00;1;13.2;0.30;70;11.6;255.7;51;1020.9
10745;costa;25/11/2024;12:00;1;23.1;0.00;75;25.6;4.5;0;1013.5
10746;oriente;25/11/2024;12:00;1;27.3;0.40;55;29.8;299.8;51;1015.4
10747;sierra;26/11/2024;0:00;0;8.9;0.10;75;7.5;6.8;51;1020.8
10748;costa;26/11/2024;0:00;0;26.8;0.00;59;27.3;63.0;1;1011.5
10749;oriente;26/11/2024;0:00;0;19.7;0.30;91;21.8;3.8;51;1014.8
10750;sierra;26/11/2024;12:00;1;15.1;0.10;57;13.1;411.3;51;1019.3
10751;costa;26/11/2024;12:00;1;23.4;0.00;75;25.7;4.8;0;1013.9
10752;oriente;26/11/2024;12:00;1;26.4;0.20;64;29.2;338.7;51;1014.7
10753;sierra;27/11/2024;0:00;0;8.8;0.00;85;7.8;4.0;2;1018.7
10754;costa;27/11/2024;0:00;0;26.6;0.00;59;27.2;67.0;2;1010.6
10755;oriente;27/11/2024;0:00;0;19.0;4.60;96;21.3;3.2;53;1013.4
10756;sierra;27/11/2024;12:00;1;14.1;0.10;65;12.3;136.3;51;1017.8
10757;costa;27/11/2024;12:00;1;22.8;0.00;74;25.2;3.8;3;1012.8
10758;oriente;27/11/2024;12:00;1;26.3;0.70;69;29.4;227.8;51;1013.7
10759;sierra;28/11/2024;0:00;0;8.5;0.10;89;7.2;2.3;51;1018.8
10760;costa;28/11/2024;0:00;0;26.9;0.00;56;27.1;55.0;2;1009.2
10761;oriente;28/11/2024;0:00;0;19.1;14.90;97;21.9;4.0;61;1014.4
10762;sierra;28/11/2024;12:00;1;11.4;1.00;87;10.2;119.2;51;1019.6
10763;costa;28/11/2024;12:00;1;22.9;0.00;73;24.8;4.3;0;1011.4
10764;oriente;28/11/2024;12:00;1;25.1;0.00;72;28.4;112.2;3;1014.3
10765;sierra;29/11/2024;0:00;0;8.1;0.00;82;6.8;1.2;3;1020.1
10766;costa;29/11/2024;0:00;0;27.0;0.00;55;27.6;124.3;3;1009.1
10767;oriente;29/11/2024;0:00;0;19.7;9.40;99;22.4;4.0;61;1014.9
10768;sierra;29/11/2024;12:00;1;9.4;2.80;96;8.1;23.0;51;1021.5
10769;costa;29/11/2024;12:00;1;22.6;0.00;76;24.8;3.7;3;1012.0
10770;oriente;29/11/2024;12:00;1;26.1;12.60;67;29.3;118.8;61;1015.3
10771;sierra;30/11/2024;0:00;0;8.5;0.10;85;7.4;10.8;51;1021.1
10772;costa;30/11/2024;0:00;0;27.5;0.00;54;27.9;159.3;3;1009.7
10773;oriente;30/11/2024;0:00;0;18.3;0.20;98;20.1;1.0;51;1015.2
10774;sierra;30/11/2024;12:00;1;9.7;4.40;95;8.3;7.0;53;1022.3
10775;costa;30/11/2024;12:00;1;22.9;0.00;76;25.2;4.3;2;1012.1
10776;oriente;30/11/2024;12:00;1;27.9;0.50;48;29.3;357.8;51;1014.6
10777;sierra;1/12/2024;0:00;0;7.3;0.20;75;5.3;9.5;51;1019.8
10778;costa;1/12/2024;0:00;0;27.9;0.00;52;28.5;126.0;3;1008.6
10779;oriente;1/12/2024;0:00;0;19.0;0.00;92;21.0;4.2;2;1014.0
10780;sierra;1/12/2024;12:00;1;14.5;0.10;53;12.2;380.5;51;1019.7
10781;costa;1/12/2024;12:00;1;23.7;0.00;70;25.8;4.2;0;1012.2
10782;oriente;1/12/2024;12:00;1;27.9;0.30;47;29.3;284.2;51;1013.5
10783;sierra;2/12/2024;0:00;0;7.4;0.00;76;5.5;11.5;0;1018.9
10784;costa;2/12/2024;0:00;0;27.7;0.00;53;28.2;134.0;0;1008.8
10785;oriente;2/12/2024;0:00;0;19.2;2.60;98;21.6;4.8;51;1014.4
10786;sierra;2/12/2024;12:00;1;14.6;0.40;62;13.1;320.2;51;1018.9
10787;costa;2/12/2024;12:00;1;23.1;0.00;74;25.7;4.5;0;1011.6
10788;oriente;2/12/2024;12:00;1;27.5;0.00;55;30.0;330.3;1;1013.8
10789;sierra;3/12/2024;0:00;0;8.9;0.00;80;7.6;9.5;0;1019.0
10790;costa;3/12/2024;0:00;0;27.5;0.00;55;28.0;47.5;1;1009.9
10791;oriente;3/12/2024;0:00;0;20.2;8.60;95;23.4;4.3;61;1015.0
10792;sierra;3/12/2024;12:00;1;13.2;1.00;76;12.0;271.7;51;1019.2
10793;costa;3/12/2024;12:00;1;23.5;0.00;71;25.6;4.5;0;1012.1
10794;oriente;3/12/2024;12:00;1;23.7;0.90;83;27.5;49.0;51;1015.3
10795;sierra;4/12/2024;0:00;0;8.3;1.00;96;7.4;5.3;51;1020.6
10796;costa;4/12/2024;0:00;0;28.3;0.00;49;28.1;193.3;3;1009.2
10797;oriente;4/12/2024;0:00;0;20.2;6.40;98;23.5;3.3;55;1015.4
10798;sierra;4/12/2024;12:00;1;12.3;3.40;88;11.5;93.0;53;1018.9
10799;costa;4/12/2024;12:00;1;23.4;0.00;72;26.2;4.2;3;1012.5
10800;oriente;4/12/2024;12:00;1;25.2;0.50;69;28.1;154.7;51;1014.4
10801;sierra;5/12/2024;0:00;0;8.2;0.10;90;6.9;10.5;51;1019.2
10802;costa;5/12/2024;0:00;0;27.5;0.00;52;27.7;136.5;1;1009.6
10803;oriente;5/12/2024;0:00;0;19.4;3.30;98;22.5;3.7;53;1014.7
10804;sierra;5/12/2024;12:00;1;14.2;0.40;67;12.7;306.2;51;1017.6
10805;costa;5/12/2024;12:00;1;23.5;0.00;74;26.5;0.3;3;1011.5
10806;oriente;5/12/2024;12:00;1;26.6;0.10;67;29.8;294.2;51;1013.0
10807;sierra;6/12/2024;0:00;0;9.3;0.50;90;8.6;5.3;51;1017.5
10808;costa;6/12/2024;0:00;0;29.4;0.40;54;30.9;199.8;51;1008.5
10809;oriente;6/12/2024;0:00;0;19.1;9.50;98;22.0;5.0;61;1013.9
10810;sierra;6/12/2024;12:00;1;11.8;2.70;89;11.1;67.2;51;1017.9
10811;costa;6/12/2024;12:00;1;22.8;4.10;85;25.9;1.0;53;1011.5
10812;oriente;6/12/2024;12:00;1;23.0;1.30;83;26.0;34.0;51;1014.4
10813;sierra;7/12/2024;0:00;0;9.2;3.10;88;8.3;1.0;53;1017.1
10814;costa;7/12/2024;0:00;0;26.6;0.70;63;27.8;209.0;51;1009.3
10815;oriente;7/12/2024;0:00;0;19.4;1.50;96;22.2;3.7;51;1013.3
10816;sierra;7/12/2024;12:00;1;11.3;6.30;97;11.0;81.7;55;1017.9
10817;costa;7/12/2024;12:00;1;22.9;0.50;89;26.7;0.0;51;1011.7
10818;oriente;7/12/2024;12:00;1;23.2;1.80;81;25.6;70.2;51;1014.0
10819;sierra;8/12/2024;0:00;0;8.4;0.90;100;7.7;4.2;51;1019.6
10820;costa;8/12/2024;0:00;0;28.7;0.00;58;30.6;66.0;2;1008.8
10821;oriente;8/12/2024;0:00;0;19.0;4.90;99;22.0;1.5;53;1014.9
10822;sierra;8/12/2024;12:00;1;9.8;2.90;100;8.6;21.0;51;1019.8
10823;costa;8/12/2024;12:00;1;23.5;0.00;80;26.7;3.7;0;1011.0
10824;oriente;8/12/2024;12:00;1;25.4;1.30;60;27.1;311.3;51;1014.7
10825;sierra;9/12/2024;0:00;0;8.5;2.60;99;7.8;2.3;51;1020.0
10826;costa;9/12/2024;0:00;0;27.9;0.00;56;28.5;78.7;0;1008.4
10827;oriente;9/12/2024;0:00;0;19.6;4.60;99;22.7;5.7;53;1014.6
10828;sierra;9/12/2024;12:00;1;10.0;1.90;93;9.0;38.3;51;1020.1
10829;costa;9/12/2024;12:00;1;23.4;0.00;77;26.0;0.0;3;1010.8
10830;oriente;9/12/2024;12:00;1;27.3;0.00;56;30.0;294.0;3;1013.1
10831;sierra;10/12/2024;0:00;0;8.1;0.10;95;7.0;3.3;51;1018.9
10832;costa;10/12/2024;0:00;0;29.9;0.00;51;31.6;49.3;3;1007.3
10833;oriente;10/12/2024;0:00;0;19.1;4.80;97;21.6;3.3;53;1013.0
10834;sierra;10/12/2024;12:00;1;9.1;4.30;96;7.9;6.5;53;1019.5
10835;costa;10/12/2024;12:00;1;24.0;0.00;75;27.1;0.5;3;1010.6
10836;oriente;10/12/2024;12:00;1;27.1;0.40;58;29.8;276.8;51;1012.5
10837;sierra;11/12/2024;0:00;0;8.7;0.90;97;8.0;2.5;51;1018.8
10838;costa;11/12/2024;0:00;0;30.2;0.00;49;31.4;28.8;3;1007.5
10839;oriente;11/12/2024;0:00;0;18.9;3.40;92;20.6;4.5;53;1014.0
10840;sierra;11/12/2024;12:00;1;10.6;3.00;97;10.0;51.2;53;1020.7
10841;costa;11/12/2024;12:00;1;24.1;0.40;76;27.6;1.3;51;1011.2
10842;oriente;11/12/2024;12:00;1;27.5;0.10;54;29.7;334.3;51;1013.2
10843;sierra;12/12/2024;0:00;0;8.8;0.00;81;7.7;11.5;2;1018.1
10844;costa;12/12/2024;0:00;0;28.3;0.90;70;32.8;79.5;51;1009.4
10845;oriente;12/12/2024;0:00;0;20.1;0.00;93;23.1;2.8;1;1013.8
10846;sierra;12/12/2024;12:00;1;13.2;0.50;73;11.8;318.7;51;1018.6
10847;costa;12/12/2024;12:00;1;23.7;2.00;86;27.6;0.8;51;1011.8
10848;oriente;12/12/2024;12:00;1;24.0;0.80;80;26.8;138.8;51;1014.8
10849;sierra;13/12/2024;0:00;0;8.2;0.00;81;6.9;0.8;3;1018.3
10850;costa;13/12/2024;0:00;0;28.2;0.40;68;32.2;66.5;51;1009.3
10851;oriente;13/12/2024;0:00;0;19.1;3.40;99;22.1;2.7;53;1014.1
10852;sierra;13/12/2024;12:00;1;13.4;1.00;80;12.8;322.7;51;1017.0
10853;costa;13/12/2024;12:00;1;24.1;0.00;71;26.7;2.5;2;1011.5
10854;oriente;13/12/2024;12:00;1;25.5;0.60;72;28.4;230.3;51;1012.5
10855;sierra;14/12/2024;0:00;0;9.7;1.00;83;8.9;0.0;51;1016.3
10856;costa;14/12/2024;0:00;0;30.2;0.10;52;32.4;110.0;51;1008.4
10857;oriente;14/12/2024;0:00;0;20.0;0.90;93;23.1;0.5;51;1013.3
10858;sierra;14/12/2024;12:00;1;11.6;6.30;98;11.5;161.0;55;1018.0
10859;costa;14/12/2024;12:00;1;24.2;0.00;76;26.8;2.5;0;1011.8
10860;oriente;14/12/2024;12:00;1;24.8;1.10;72;27.2;174.0;51;1013.7
10861;sierra;15/12/2024;0:00;0;9.2;2.30;90;8.5;4.3;51;1017.2
10862;costa;15/12/2024;0:00;0;28.6;0.00;50;28.9;103.5;3;1008.9
10863;oriente;15/12/2024;0:00;0;19.2;0.10;99;22.3;1.3;51;1013.2
10864;sierra;15/12/2024;12:00;1;11.0;11.10;98;10.4;10.0;61;1018.3
10865;costa;15/12/2024;12:00;1;23.6;0.00;75;26.4;3.3;3;1011.0
10866;oriente;15/12/2024;12:00;1;24.5;0.70;75;27.0;107.3;51;1013.4
10867;sierra;16/12/2024;0:00;0;8.9;2.30;100;8.2;0.8;51;1019.4
10868;costa;16/12/2024;0:00;0;29.2;0.00;47;29.5;84.2;3;1008.3
10869;oriente;16/12/2024;0:00;0;19.2;6.70;100;21.8;2.3;55;1014.3
10870;sierra;16/12/2024;12:00;1;12.5;0.30;79;11.6;209.3;51;1019.2
10871;costa;16/12/2024;12:00;1;24.3;0.00;67;26.5;0.0;3;1011.2
10872;oriente;16/12/2024;12:00;1;23.3;0.80;81;26.7;26.5;51;1014.8
10873;sierra;17/12/2024;0:00;0;8.5;0.90;98;7.6;0.0;51;1020.1
10874;costa;17/12/2024;0:00;0;28.2;0.00;51;28.4;93.3;2;1009.0
10875;oriente;17/12/2024;0:00;0;19.7;2.70;93;22.5;2.5;51;1015.6
10876;sierra;17/12/2024;12:00;1;9.5;4.70;97;8.6;11.0;53;1021.7
10877;costa;17/12/2024;12:00;1;23.6;0.00;77;26.9;2.7;0;1011.7
10878;oriente;17/12/2024;12:00;1;24.6;3.80;75;28.3;85.7;53;1016.0
10879;sierra;18/12/2024;0:00;0;8.0;0.20;89;6.9;11.2;51;1021.4
10880;costa;18/12/2024;0:00;0;29.7;0.00;49;30.4;35.5;3;1009.1
10881;oriente;18/12/2024;0:00;0;19.6;17.20;99;22.3;4.8;63;1016.3
10882;sierra;18/12/2024;12:00;1;10.9;1.00;93;9.9;118.7;51;1022.0
10883;costa;18/12/2024;12:00;1;24.7;0.00;70;27.5;1.5;2;1012.0
10884;oriente;18/12/2024;12:00;1;23.8;10.30;79;26.7;96.0;61;1016.5
10885;sierra;19/12/2024;0:00;0;7.7;0.00;87;6.2;12.5;3;1020.6
10886;costa;19/12/2024;0:00;0;29.8;0.00;47;30.1;25.5;3;1009.4
10887;oriente;19/12/2024;0:00;0;19.8;4.00;95;23.0;2.5;53;1015.3
10888;sierra;19/12/2024;12:00;1;11.1;2.10;94;10.2;36.8;51;1021.3
10889;costa;19/12/2024;12:00;1;24.7;0.00;71;27.7;3.0;2;1011.2
10890;oriente;19/12/2024;12:00;1;27.6;0.20;59;30.5;284.5;51;1014.4
10891;sierra;20/12/2024;0:00;0;8.2;0.20;82;7.0;11.7;51;1020.0
10892;costa;20/12/2024;0:00;0;30.1;0.70;45;32.0;96.7;51;1010.4
10893;oriente;20/12/2024;0:00;0;19.2;4.10;95;21.6;5.2;53;1014.3
10894;sierra;20/12/2024;12:00;1;10.3;2.80;97;9.8;3.8;51;1021.1
10895;costa;20/12/2024;12:00;1;24.2;0.00;69;26.9;2.5;3;1012.2
10896;oriente;20/12/2024;12:00;1;26.4;0.20;65;29.9;303.3;51;1014.0
10897;sierra;21/12/2024;0:00;0;9.5;0.20;78;8.3;6.3;51;1019.8
10898;costa;21/12/2024;0:00;0;28.0;1.10;67;31.5;117.3;51;1010.6
10899;oriente;21/12/2024;0:00;0;19.2;2.30;96;21.6;3.3;51;1014.1
10900;sierra;21/12/2024;12:00;1;12.3;1.10;79;11.2;273.0;51;1020.3
10901;costa;21/12/2024;12:00;1;23.7;0.00;75;26.7;1.3;3;1012.4
10902;oriente;21/12/2024;12:00;1;26.5;0.30;66;29.9;293.0;51;1014.7
10903;sierra;22/12/2024;0:00;0;9.4;0.00;73;8.0;11.2;3;1018.7
10904;costa;22/12/2024;0:00;0;28.0;0.00;57;30.9;69.3;3;1010.7
10905;oriente;22/12/2024;0:00;0;19.2;3.10;97;22.1;1.5;53;1015.1
10906;sierra;22/12/2024;12:00;1;14.3;0.50;67;12.6;258.0;51;1019.9
10907;costa;22/12/2024;12:00;1;24.1;0.00;74;26.7;1.3;3;1013.5
10908;oriente;22/12/2024;12:00;1;25.5;1.10;70;28.6;233.5;51;1016.0
10909;sierra;23/12/2024;0:00;0;9.5;0.50;86;8.5;13.2;51;1020.4
10910;costa;23/12/2024;0:00;0;28.0;0.00;56;29.2;45.3;3;1011.3
10911;oriente;23/12/2024;0:00;0;19.1;11.50;98;21.6;4.7;61;1016.2
10912;sierra;23/12/2024;12:00;1;11.2;2.50;84;10.2;28.8;51;1021.9
10913;costa;23/12/2024;12:00;1;23.9;0.40;79;27.0;0.0;51;1013.8
10914;oriente;23/12/2024;12:00;1;23.7;8.60;79;27.0;42.2;61;1017.2
10915;sierra;24/12/2024;0:00;0;9.0;0.50;93;8.3;9.0;51;1021.6
10916;costa;24/12/2024;0:00;0;29.0;0.00;53;30.4;50.5;3;1011.3
10917;oriente;24/12/2024;0:00;0;19.6;13.70;97;22.2;3.3;61;1016.7
10918;sierra;24/12/2024;12:00;1;14.0;0.40;67;12.3;110.3;51;1019.6
10919;costa;24/12/2024;12:00;1;23.6;0.10;85;27.6;2.3;51;1012.7
10920;oriente;24/12/2024;12:00;1;22.1;3.80;86;25.3;13.2;53;1016.5
10921;sierra;25/12/2024;0:00;0;7.9;0.00;83;6.6;13.8;2;1019.1
10922;costa;25/12/2024;0:00;0;29.4;0.10;57;31.0;163.7;51;1008.7
10923;oriente;25/12/2024;0:00;0;19.8;0.90;92;22.5;9.2;51;1014.2
10924;sierra;25/12/2024;12:00;1;13.6;0.10;65;12.0;236.0;51;1018.5
10925;costa;25/12/2024;12:00;1;23.4;4.90;93;28.2;1.5;53;1011.3
10926;oriente;25/12/2024;12:00;1;25.9;1.80;69;29.4;189.2;51;1013.8
10927;sierra;26/12/2024;0:00;0;7.6;0.00;93;6.6;13.7;3;1019.3
10928;costa;26/12/2024;0:00;0;27.2;0.00;60;28.1;50.2;3;1009.4
10929;oriente;26/12/2024;0:00;0;20.4;0.90;93;23.5;4.7;51;1014.5
10930;sierra;26/12/2024;12:00;1;11.2;2.20;92;10.7;158.8;51;1019.8
10931;costa;26/12/2024;12:00;1;24.0;0.00;77;27.3;1.2;3;1012.7
10932;oriente;26/12/2024;12:00;1;26.4;1.60;66;29.9;196.7;51;1013.8
10933;sierra;27/12/2024;0:00;0;8.3;2.00;96;7.6;11.5;51;1020.0
10934;costa;27/12/2024;0:00;0;28.8;0.20;55;31.3;20.3;51;1010.7
10935;oriente;27/12/2024;0:00;0;19.2;16.20;98;22.3;1.2;63;1015.3
10936;sierra;27/12/2024;12:00;1;11.1;3.30;97;10.3;56.2;53;1020.1
10937;costa;27/12/2024;12:00;1;23.2;0.30;89;26.9;1.5;51;1012.1
10938;oriente;27/12/2024;12:00;1;25.9;0.10;68;28.9;286.0;51;1014.3
