id;velocidad_viento_10m;presion_superficie;temp_suelo_7cm;humedad_suelo_7cm;temp_suelo_250cm
6093;4.7;892.6;21.1;0.367;21.3
6094;7.6;718.1;16.5;0.351;10.4
6095;6.4;1015.3;23.3;0.302;25.8
6096;7.3;895.5;24.2;0.363;21.3
6097;1.9;714.4;8.9;0.352;10.4
6098;10.2;1012.9;27.7;0.300;25.8
6099;3.3;891.3;20.5;0.349;21.3
6100;8.3;716.1;14.9;0.350;10.4
6101;4.7;1015.5;23.2;0.301;25.8
6102;2.8;894.6;23.3;0.353;21.3
6103;2.5;714.2;10.5;0.383;10.4
6104;11.4;1010.6;28.8;0.304;25.8
6105;3.1;893.3;20.1;0.380;21.3
6106;5.8;716.4;15.5;0.371;10.4
6107;3.1;1013.9;23.0;0.305;25.8
6108;5.4;894.9;22.9;0.388;21.3
6109;4.0;714.4;9.5;0.392;10.4
6110;14.5;1010.4;29.1;0.300;25.8
6111;2.9;894.1;20.7;0.429;21.3
6112;5.4;715.6;9.8;0.439;10.4
6113;2.0;1014.3;22.7;0.301;25.8
6114;1.6;894.9;22.5;0.427;21.3
6115;1.8;714.8;6.9;0.412;10.4
6116;10.9;1012.7;26.1;0.318;25.8
6117;3.1;893.6;20.3;0.426;21.3
6118;4.8;715.9;12.3;0.410;10.4
6119;4.0;1013.5;21.5;0.318;25.8
6120;7.2;894.8;23.1;0.413;21.3
